scp-1007,Safe,,alive dr-wondertainment ectoentropic humanoid marshall-carter-and-dark mister reanimation safe sapient scp sentient temporal 
scp-1008,Safe,,engraved safe scp sensory stone sun visual 
scp-1009,Keter,,acoustic animal extradimensional keter location plant scp transfiguration 
scp-101,Euclid,site-18,alive container euclid extradimensional metamorphic predatory scp 
scp-1010,Safe,,1000 adaptive alive humanoid plant reproductive safe scp sentient toxic 
scp-1011,Safe,,cognitohazard gru-division-p mind-affecting safe scp statue visual 
scp-1012,Keter,,acoustic k-class-scenario keter scp uncontained 
scp-1013,Keter,,1000 alive animal avian carnivorous keter predatory reptilian scp 
scp-1014,Euclid,,alive animal euclid humanoid scp species 
scp-1015,Safe,,currency metallic safe scp self-replicating transfiguration 
scp-1016,Safe,,key metallic metamorphic mimetic safe scp temporal 
scp-1017,Euclid,,autonomous euclid mind-affecting scp uncontained vehicle 
scp-1018,Safe,,are-we-cool-yet meteorological safe scp statue 
scp-1019,Euclid,,alive dr-wondertainment euclid foundation-made humanoid mister sapient scp sentient sphere subterranean 
scp-102,Euclid,,building euclid featured intangible marshall-carter-and-dark scp sensory transfiguration 
scp-1020,Euclid,,autonomous document euclid instrument memory-affecting sapient scp teleportation 
scp-1021,Safe,,artifact artistic electrical inscribed portal safe scp spacetime 
scp-1022,Safe,,clothing mind-affecting safe scp sensory visual 
scp-1023,Safe,site-14,glass instrument marshall-carter-and-dark mechanical predictive safe scp 
scp-1024,Safe,site-65,1000 document ectoentropic game media safe scp 
scp-1025,Keter Safe,,cognitohazard document mind-affecting safe scp visual 
scp-1026,Safe Euclid (see Addendum #1026-1),,euclid hostile humanoid mind-affecting scp self-replicating 
scp-1027,Euclid,,autonomous biological euclid humanoid mobile neurological scp self-replicating 
scp-1028,Safe,,alive animal auditory avian cognitohazard safe scp swarm visual 
scp-1029,Safe,,computer olfactory safe scp sensory visual 
scp-103,Euclid,,alive euclid humanoid parasitic rewrite scp sentient 
scp-1030,Euclid,,euclid humanoid sapient scp self-repairing sentient 
scp-1031,Safe,,artifact inscribed key safe scp telekinetic 
scp-1032,Safe Euclid,,appliance collaboration euclid inscribed metamorphic predictive rewrite scp temporal timepiece 
scp-1033,Euclid,,euclid humanoid loop radioactive scp temporal 
scp-1034,Safe,,ectoentropic mind-affecting safe scp tool transfiguration 
scp-1035,Safe,site-18,biohazard clothing contagion safe scp 
scp-1036,Euclid,site-06-2,euclid ritual sapient scp statue wooden 
scp-1037,Instrument,site-18,artifact asci broken-god crystalline euclid k-class-scenario metallic rewrite scp vibration 
scp-1038,Safe,site-14,auditory electronic extradimensional recording safe scp visual 
scp-1039,Euclid,,euclid scp sentient teleportation toy 
scp-104,Euclid,,autonomous euclid glass scp self-repairing sphere teleportation wooden 
scp-1040,Safe,,appliance cognitohazard infohazard light mind-affecting safe scp visual 
scp-1041,Euclid-alterius,site-14,alive chaos-insurgency euclid humanoid sapient scp sentient telepathic 
scp-1042,Safe,,artifact auditory electromagnetic humanoid recording safe scp visual 
scp-1043,Euclid,,alexylva are-we-cool-yet container euclid mobile scp self-replicating 
scp-1044,Safe,,acoustic location paradox safe scp 
scp-1045,Safe,,acoustic appliance event-featured fire humanoid safe scp shadow visual 
scp-1046,Euclid,,alive euclid humanoid metamorphic rewritable scp 
scp-1047,Safe,,artifact inscribed mind-affecting physics rewrite safe scp transfiguration 
scp-1048,Safe Keter,,autonomous keter mind-affecting scp self-replicating toy uncontained ursine 
scp-1049,Safe,,alive animal avian hostile safe scp skeletal teleportation 
scp-105,Safe,site-14,alive co-authored humanoid iris-thompson photographic rewrite safe sapient scp sentient telekinetic 
scp-1050,Safe,,engraved extraterrestrial language mathematical safe scp sculpture stone transmission 
scp-1051,Euclid,,1000 adaptive alive euclid extraterrestrial location metamorphic predatory scp sentient 
scp-1052,Safe,site-45,artifact co-authored engraved mind-affecting safe sapient scp sentient 
scp-1053,Keter,,artifact city document keter map scp spacetime 
scp-1054,Safe,,ectoentropic humanoid inscribed safe scp statue 
scp-1055,Keter,,alive animal ectoentropic humanoid infohazard k-class-scenario keter metamorphic sapient scp sentient ursine 
scp-1056,Safe,,appliance factory mechanical metallic safe scp transfiguration 
scp-1057,Safe,,animal aquatic are-we-cool-yet carnivorous intangible piscine rewrite safe scp selachian 
scp-1058,Safe,site-14,alive humanoid marshall-carter-and-dark safe sapient scp sentient shadow 
scp-1059,Euclid,,compulsion euclid memetic meta scp 
scp-106,Keter,,corrosive extradimensional humanoid keter predatory scp sentient the-old-man 
scp-1060,Euclid,,1000 airborne alive euclid humanoid predatory sapient scp sentient 
scp-1061,Safe,,extradimensional mind-affecting rewrite safe scp sensory vehicle 
scp-1062,Safe,,cognitohazard document memory-affecting mind-affecting safe scp visual 
scp-1063,Euclid,,automaton euclid humanoid rewrite scp sentient wooden 
scp-1064,Safe,,fire jewelry mind-affecting safe scp temporal 
scp-1065,Safe,,document fire mind-affecting safe scp 
scp-1066,safe,site-19,document knowledge memory-affecting mind-affecting safe scp temporal 
scp-1067,Safe,,artifact ectoentropic metallic safe scp 
scp-1068,Safe,site-65,airborne chaos-insurgency dr-wondertainment physics radioactive safe scp toy weapon 
scp-1069,Euclid,,acoustic aquatic city cognitohazard euclid humanoid intangible mind-affecting sapient scp sentient visual 
scp-107,Safe,site-18,chelonian ectoentropic meteorological organic safe scp skeletal 
scp-1070,Safe,site-77,arcadia auditory cognitohazard electronic game media rewritable rewrite safe scp toy visual 
scp-1071,euclid,,document euclid mind-affecting scp teleportation 
scp-1072,Safe,,artifact compulsion memory-affecting metallic mind-affecting safe scp 
scp-1073,Safe,,alive computer geological safe sapient scp 
scp-1074,Safe,,are-we-cool-yet artistic cognitohazard mind-affecting safe scp visual 
scp-1075,Euclid,,arboreal city euclid memory-affecting mind-affecting scp 
scp-1076,Euclid,,compulsion euclid humanoid mind-affecting parasitic scp sentient 
scp-1077,Euclid,,biohazard euclid fungus sapient scp sensory telepathic 
scp-1078,Safe Euclid,,auditory electromagnetic euclid glass ocular scp sensory sphere teleportation visual 
scp-1079,Safe,site-18,dr-wondertainment food safe scp transfiguration 
scp-108,Safe,site-14,alive humanoid military portal safe scp structure 
scp-1080,Safe,site-2498,alexylva container humanoid inscription mind-affecting safe scp temporal transfiguration vehicle 
scp-1081,Safe,site-2498,acoustic alexylva language mind-affecting safe scp 
scp-1082,Euclid,site-2498,compulsion document euclid memetic mind-affecting scp 
scp-1083,Safe,site-2498,alexylva crystalline event-featured humanoid mind-affecting safe scp serpents-hand skeletal 
scp-1084,Euclid,,artifact compulsion euclid historical location mind-affecting scp structure 
scp-1085,Euclid,site-2498,compulsion euclid media mind-affecting recording scp 
scp-1086,Euclid,site-2498,bacteria euclid mind-affecting neurological scp transfiguration 
scp-1087,Safe,site-2498,alive animal biohazard chemical mind-affecting predatory safe scp simian 
scp-1088,Safe,,1000 auditory building hallucination mind-affecting reproductive safe scp 
scp-1089,Safe,,electronic marshall-carter-and-dark safe scp tool visual 
scp-109,Euclid (See Addendum 109-1),site-18,container ectoentropic euclid liquid scp 
scp-1090,Safe,,artifact auditory cognitohazard electronic mind-affecting safe scp sensory stone 
scp-1091,Euclid,,acoustic audio electrical euclid sapient scp 
scp-1092,Euclid,,alive animal euclid mind-affecting parasitic piscine scp 
scp-1093,Safe,,auditory hallucination humanoid light radioactive safe scp 
scp-1094,Safe,,compulsion intangible location safe scp structure 
scp-1095,Keter,,city extradimensional keter location ontokinetic portal scp 
scp-1096,Safe,,artifact factory medical safe scp transfiguration 
scp-1097,Euclid,site-14,adaptive amorphous corrosive empathic euclid event-featured liquid scp 
scp-1098,Euclid,,auditory cognitohazard euclid language memetic scp visual 
scp-1099,Euclid,,aquatic euclid event-featured liquid scp transfiguration 
scp-11,Safe,,autonomous humanoid military safe sapient scp sentient statue 
scp-110,Euclid,,city euclid future geological scp subterranean teleportation temporal 
scp-1100,Safe Euclid Keter,,hostile keter organic scp transfiguration 
scp-1101,Safe Euclid,,euclid furniture k-class-scenario mind-affecting observational scp stone 
scp-1102,Euclid,,1000 cadaver euclid geological location reanimation scp transfiguration 
scp-1103,Safe,,biological dr-wondertainment humanoid safe scp transfiguration 
scp-1104,Keter,site-104,alive arthropod keter parasitic scp species 
scp-1105,Safe,area-12,adaptive alive electrical fungus hostile metamorphic organic safe scp swarm 
scp-1106,Safe,,container ectoentropic factory genetic safe scp 
scp-1107,Safe,,extraterrestrial language safe scp transmission 
scp-1108,Euclid,,audio euclid meteorological reptilian scp uncontained 
scp-1109,Safe,,container medical safe scp sensory tactile 
scp-111,Safe,site-18,alive animal dr-wondertainment fire invertebrate safe scp species 
scp-1110,Euclid,,euclid humanoid recording scp telekinetic 
scp-1111,Euclid,,1000 canine euclid hostile humanoid intangible scp 
scp-1112,Safe,,artifact autonomous mind-affecting safe scp shadow telepathic visual 
scp-1113,Safe,,humanoid metallic safe scp toy 
scp-1114,Euclid,,artifact euclid humanoid metamorphic scp telekinetic 
scp-1115,Euclid,,airborne automaton euclid language scp swarm 
scp-1116,Euclid,,alive euclid humanoid scp transmission 
scp-1117,Euclid,,cognitohazard euclid food furniture gustatory mind-affecting scp 
scp-1118,Safe,,acoustic gru-division-p historical instrument mechanical mind-affecting safe scp skeletal telepathic 
scp-1119,Euclid,,alive ectoentropic euclid humanoid sapient scp sentient transfiguration 
scp-112,Euclid,,euclid extradimensional scp structure temporal 
scp-1120,Euclid,,euclid historical humanoid scp sentient stone tactile 
scp-1121,Euclid,,bacteria euclid extraterrestrial mind-affecting scp transfiguration 
scp-1122,Euclid,,adaptive alive building euclid future humanoid location scp 
scp-1123,Safe,site-18,hallucination mind-affecting safe scp skeletal tactile 
scp-1124,Keter,,animal audio container extraterrestrial featured hostile keter metallic sapient scp sentient 
scp-1125,Euclid,,artifact compulsion cube euclid factory mind-affecting scp wooden 
scp-1126,Safe,,alive arboreal clothing mobile plant safe sapient scp sentient 
scp-1127,Safe,,are-we-cool-yet artistic media mind-affecting recording safe scp 
scp-1128,Euclid,,aquatic carnivorous cognitohazard euclid infohazard scp visual 
scp-1129,Euclid,site-81,biological cognitohazard euclid infohazard mathematical memory-affecting mind-affecting rewrite scp visual 
scp-113,Safe,site-19,reproductive rewrite safe scp stone tactile transfiguration 
scp-1130,Safe,,appliance electronic event-featured extradimensional map portal safe scp 
scp-1131,Euclid,,airborne alive animal euclid featured insect memory-affecting mind-affecting scp transfiguration 
scp-1132,Safe,,alive humanoid ophidian safe scp 
scp-1133,Safe,,chemical electronic medical mind-affecting safe scp 
scp-1134,Safe,,container ectoentropic liquid safe scp 
scp-1135,Euclid,site-19,city euclid fungus manna-charitable-foundation organic scp self-repairing 
scp-1136,Euclid,,alive animal euclid gravity reptilian scp species 
scp-1137,Euclid,site-18,compulsion euclid glass infohazard memetic mind-affecting scp sphere 
scp-1138,Euclid,,cognitohazard document euclid international metamorphic scp visual 
scp-1139,Euclid,,artifact broken-god euclid language metallic mind-affecting scp 
scp-114,Euclid,site-14,alive euclid humanoid mind-affecting rewrite sapient scp sentient 
scp-1140,Safe,,acoustic furniture safe scp sentient 
scp-1141,Keter-alterius,,building exchange extradimensional food keter physics scp teleportation uncontained 
scp-1142,Safe,,automaton extradimensional k-class-scenario safe scp temporal transmission vehicle 
scp-1143,Safe,,clothing ectoentropic safe scp 
scp-1144,Safe,,electronic instrument knowledge safe scp 
scp-1145,Euclid,,euclid light organic physics radioactive scp teleportation toy ursine 
scp-1146,Safe,,appliance auditory autonomous ectoentropic safe scp sentient 
scp-1147,Euclid,,alive arboreal euclid metamorphic plant scp species 
scp-1148,Safe,,cognitohazard compulsion observational safe scp visual 
scp-1149,Euclid,,artifact electrical euclid metallic meteorological scp 
scp-115,Safe,,miniature safe scp toy vehicle 
scp-1150,Safe,,autonomous marshall-carter-and-dark mind-affecting safe sapient scp sentient 
scp-1151,Safe,,instrument mind-affecting safe scp sensory 
scp-1152,Safe,site-98,alive auditory cognitohazard hallucination humanoid safe sapient scp sensory sentient visual 
scp-1153,Safe,,computer contagion humanoid safe scp 
scp-1154,Safe,,artistic fire media memetic mind-affecting narrative reptilian safe scp visual 
scp-1155,Keter,,artistic avian compulsion indestructible intangible keter observational predatory scp teleportation transfiguration 
scp-1156,Safe,site-65,alive animal equine genetic marshall-carter-and-dark safe sapient scp sentient telekinetic 
scp-1157,Keter,,alive humanoid keter sapient scp self-replicating sentient 
scp-1158,Euclid,site-18,alive euclid invertebrate predatory rewrite scp species 
scp-1159,safe,,artifact audio infohazard instrument meta safe scp 
scp-116,Euclid,site-18,alive euclid humanoid language mind-affecting scp sentient transfiguration 
scp-1160,Keter Safe,,airborne alive avian ectoentropic hostile indestructible insect observational safe scp visual 
scp-1161,Euclid,,document knowledge metamorphic safe scp 
scp-1162,Safe,,building extraterrestrial indestructible ontokinetic safe scp 
scp-1163,Euclid,,euclid humanoid mind-affecting scp transfiguration 
scp-1164,Safe,,acoustic artifact humanoid metamorphic safe scp 
scp-1165,Euclid,,city euclid extradimensional location physics scp 
scp-1166,Safe,site-19,alive animal ethics-committee genetic murine safe sapient scp self-repairing sentient 
scp-1167,Euclid,,acoustic automaton euclid language scp 
scp-1168,Safe,,are-we-cool-yet compulsion currency engraved gamers-against-weed jude-kriyot metallic safe scp statue 
scp-1169,Safe,,animal container gaseous liquid reviewers-spotlight safe scp transfiguration 
scp-117,Safe,,metamorphic safe scp sentient telepathic tool weapon 
scp-1170,Euclid,,euclid extradimensional featured hallucination humanoid location mind-affecting sapient scp sentient 
scp-1171,Euclid,,building euclid extradimensional location sapient scp sentient 
scp-1172,Safe,,container featured game organic predictive safe scp 
scp-1173,euclid,,auditory euclid hallucination knowledge memetic memory-affecting scp 
scp-1174,Euclid,,aquatic euclid hallucination humanoid mind-affecting scp transfiguration vehicle visual 
scp-1175,Euclid,,autonomous euclid featured scp self-repairing sentient statue 
scp-1176,Euclid,site-65,biohazard euclid food humanoid liquid manna-charitable-foundation scp 
scp-1177,Safe,,alive cognitohazard exchange humanoid mind-affecting safe sapient scp sentient visual 
scp-1178,Keter,,airborne gru-division-p keter military radioactive rewritable scp transmission weapon 
scp-1179,Keter,area-32,autonomous fire hostile humanoid keter location scp statue 
scp-118,Euclid,,alive aquatic euclid microscopic scp self-replicating species 
scp-1180,Safe,,alive featured plant safe scp species 
scp-1181,Safe,,ectoentropic location safe scp self-replicating 
scp-1182,Safe,,cephalopodic clockwork hallucination safe scp sculpture sensory visual 
scp-1183,Euclid,,ectoentropic euclid historical location scp 
scp-1184,Safe,,engraved event-featured jewelry memory-affecting metallic mind-affecting safe scp 
scp-1185,Euclid,,artifact euclid mechanical organic scp subterranean 
scp-1186,Euclid,,acoustic animal arthropod auditory biological euclid insect knowledge religious scp 
scp-1187,Safe,site-18,mechanical physics safe scp telekinetic vehicle 
scp-1188,Safe,,electrical safe scp spacetime tool 
scp-1189,Euclid,,acoustic auditory cognitohazard compulsion euclid mind-affecting scp 
scp-119,Euclid,,appliance electrical euclid radioactive scp temporal 
scp-1190,Safe,,compulsion computer physics safe scp 
scp-1191,Safe,,arboreal mind-affecting safe scp wooden 
scp-1192,Euclid,,airborne alive animal artistic avian euclid sapient scp sentient 
scp-1193,Safe,,appliance auditory extremity humanoid reviewers-spotlight safe scp subterranean thermal 
scp-1194,Safe,,alive animal dr-wondertainment equine safe scp sentient toy 
scp-1195,Safe,,document language narrative rewrite safe scp sentient 
scp-1196,Safe,,autonomous furniture location safe scp 
scp-1197,Euclid,,building ectoentropic euclid indestructible location scp 
scp-1198,Safe,site-18,acoustic auditory cognitohazard hallucination safe scp sensory 
scp-1199,Safe,,biological chemical container ectoentropic safe scp 
scp-12,Euclid,,cognitohazard document euclid mind-affecting musical scp visual 
scp-120,Safe,area-27,container indestructible liquid portal safe scp teleportation 
scp-1200,Safe,,factory featured food humanoid safe sapient scp sentient transfiguration 
scp-1201,Euclid,,euclid game location sapient scp simian 
scp-1202,Euclid,,auditory contagion euclid hallucination scp sentient 
scp-1203,Euclid,site-14,euclid humanoid loop sapient scp serpents-hand 
scp-1204,Euclid,,biological ethics-committee euclid mind-affecting neurological parasitic rewritable rewrite scp 
scp-1205,Safe,,acoustic artifact cognitohazard safe scp self-repairing visual 
scp-1206,Safe,,language location mind-affecting safe scp visual 
scp-1207,Safe,,are-we-cool-yet artifact cognitohazard mind-affecting rewrite safe scp visual 
scp-1208,Safe,site-18,appliance electrical safe scp transfiguration 
scp-1209,Euclid,,euclid genetic humanoid sapient scp sensory visual 
scp-121,Euclid,,airborne city euclid metamorphic meteorological scp sentient 
scp-1210,Euclid,,euclid extradimensional location scp temporal 
scp-1211,Euclid,,building euclid memory-affecting mind-affecting scp temporal 
scp-1212,Safe,,furniture game hallucination metamorphic mind-affecting safe scp toxic 
scp-1213,Safe,,autonomous mechanical predatory safe scp sentient teleportation weapon wooden 
scp-1214,Safe,,cognitohazard computer safe scp sentient visual 
scp-1215,Euclid,,artistic document euclid mind-affecting religious scp sexual 
scp-1216,Safe,,autonomous building extradimensional polyhedral portal safe scp self-replicating species 
scp-1217,Safe,,building feline safe scp 
scp-1218,Safe,,furniture glass humanoid safe scp 
scp-1219,Euclid,,acoustic euclid hostile intangible light mobile observational scp 
scp-122,Keter,site-18,autonomous hostile humanoid keter light rewritable rewrite sapient scp sentient shadow sleep 
scp-1220,Safe,,language media recording safe scp 
scp-1221,Safe,,memory-affecting mind-affecting safe scp vehicle 
scp-1222,Safe,,cognitohazard container safe scp tactile visual 
scp-1223,Safe,,appliance cognitohazard electronic memory-affecting observational safe scp visual 
scp-1224,Safe,,chemical dr-wondertainment safe scp toy 
scp-1225,Safe,,artifact entropic glass safe scp transfiguration 
scp-1226,Safe,,are-we-cool-yet artistic cognitohazard safe scp transfiguration visual 
scp-1227,Euclid,,alive contagion euclid humanoid scp self-replicating sentient transfiguration 
scp-1228,Euclid,,computer document euclid online scp telepathic 
scp-1229,Safe,site-19,auditory humanoid media recording safe scp transmission visual 
scp-123,Euclid,,euclid gravity scp spacetime sphere 
scp-1230,Safe,,document memory-affecting safe scp sleep 
scp-1231,euclid,,autonomous computer euclid infohazard loop recording scp visual 
scp-1232,Safe,,biohazard contagion gru-division-p mind-affecting organic reproductive safe scp 
scp-1233,keter,,airborne ectoentropic extraterrestrial humanoid indestructible keter moon moon-champion sapient scp sentient uncontained 
scp-1234,Keter,,autonomous building event-featured food keter scp 
scp-1235,Euclid,,document euclid hostile map microscopic sapient scp sentient 
scp-1236,Safe,,artistic safe scp visual 
scp-1237,Keter,,ectoentropic genetic k-class-scenario keter scp sleep telekinetic uncontained 
scp-1238,Keter,,animal aquatic geological k-class-scenario keter piscine scp species 
scp-1239,Safe,,appliance hallucination light observational safe scp visual 
scp-124,Euclid,,biological euclid organic scp transfiguration 
scp-1240,Euclid,,alive animal euclid scp 
scp-1241,Neutralised (formerly Safe),,canine humanoid neutralized performance safe scp transmission 
scp-1242,Euclid,,alive euclid humanoid sapient scp self-replicating sentient virus 
scp-1243,Euclid,,computer ectoentropic euclid humanoid online scp uncontained 
scp-1244,Safe,,appliance clockwork predictive safe scp timepiece 
scp-1245,Euclid,,aquatic autonomous cetacean euclid sapient scp self-repairing sentient vehicle 
scp-1246,Euclid-nuntii,,compulsion euclid radioactive recording scp self-repairing sensory structure sun 
scp-1247,Safe,,alive humanoid safe sapient scp sensory sentient 
scp-1248,Safe-nuntii,,chaos-insurgency eric mind-affecting safe scp 
scp-1249,Euclid,,biohazard contagion euclid humanoid scp swarm 
scp-125,Euclid,,contagion euclid ocular scp self-replicating sentient transfiguration visual 
scp-1250,Safe,,auditory extradimensional featured media probability recording safe scp visual 
scp-1251,Euclid,,euclid gravity location mobile scp 
scp-1252,Euclid,,alive euclid event-featured humanoid insect kindness sapient scp self-repairing sentient 
scp-1253,Euclid,,automaton euclid hive-mind organic religious sapient scp 
scp-1254,Neutralized Euclid,,alive euclid humanoid miniature sapient scp sentient 
scp-1255,Euclid,,cognitohazard euclid gustatory neurological parasitic plant scp species transfiguration 
scp-1256,Safe,,apian cognitohazard document insect mind-affecting safe scp visual 
scp-1257,Safe,,document recording safe scp 
scp-1258,Euclid,site-18,cognitohazard compulsion euclid knowledge mind-affecting neurological observational scp transfiguration visual 
scp-1259,Safe,site-2498,document infohazard k-class-scenario safe scp 
scp-126,Euclid,,acoustic euclid humanoid intangible mind-affecting rewrite sapient scp sentient 
scp-1260,Euclid,,aquatic autonomous euclid extradimensional loop meteorological military scp vehicle wooden 
scp-1261,Euclid,,auditory avian cognitohazard euclid global-occult-coalition memetic mind-affecting scp 
scp-1262,Keter,,adaptive biological keter light plant scp self-repairing self-replicating 
scp-1263,Safe,,acoustic humanoid reproductive safe sapient scp sentient 
scp-1264,Keter,site-45,alive aquatic clothing historical hostile humanoid keter organic scp vehicle weapon 
scp-1265,Euclid,,alive animal dinosaurian euclid location scp temporal 
scp-1266,Euclid,,airborne artifact ectoentropic engraved euclid immobile indestructible metallic scp 
scp-1267,Euclid,,animal biological euclid metamorphic scp 
scp-1268,Safe-exsequi,,humanoid mind-affecting safe scp sentient 
scp-1269,Euclid,,co-authored container ectoentropic euclid scp sentient telekinetic teleportation 
scp-127,Safe,site-45,biological dental safe scp self-repairing weapon 
scp-1270,Safe,,building hostile humanoid rewrite safe scp self-repairing teleportation weapon 
scp-1271,Euclid,,euclid game language location memory-affecting mind-affecting scp sport teleportation 
scp-1272,Euclid,,euclid scp spacetime statue temporal uncontained 
scp-1273,Safe Euclid,site-19,appliance electrical euclid extradimensional humanoid intangible sapient scp sentient 
scp-1274,Euclid,,cognitohazard euclid event-featured memetic mind-affecting performance scp visual 
scp-1275,Keter,,alive amorphous chaos-insurgency extradimensional keter portal scp 
scp-1276,Safe,,artifact engraved extraterrestrial historical metallic religious safe scp telekinetic 
scp-1277,Safe,site-77,alive auditory cactaceous humanoid plant rewritable safe scp sentient skeletal 
scp-1278,Safe,,photographic portal safe scp 
scp-1279,Safe,,animal auditory canine clothing cognitohazard safe scp visual 
scp-128,Euclid,,amorphous ectoentropic euclid scp sentient telekinetic 
scp-1280,Euclid,,alive euclid memory-affecting parasitic scp vermian 
